538,105363298,270,23311750
Alabama,AL,9,833137
Alaska,AK,3,142247
Arizona,AZ,8,766009
Arkansas,AR,6,460891
California,CA,54,5482929
Connecticut,CT,8,730089
Delaware,DE,3,163765
District of Columbia,DC,3,100948
Georgia,GA,13,1291605
Hawaii,HI,4,183976
Idaho,ID,4,250808
Indiana,IN,12,1099652
Iowa,IA,7,657198
Kansas,KS,6,536109
Kentucky,KY,8,773554
Louisiana,LA,9,882829
Mississippi,MS,7,497093
Montana,MT,3,205494
Nebraska,NE,5,348567
Nevada,NV,4,302828
New Hampshire,NH,4,283898
New Mexico,NM,5,299303
North Dakota,ND,3,144129
Oklahoma,OK,8,617115
Rhode Island,RI,4,204557
South Carolina,SC,8,691952
South Dakota,SD,3,158135
Tennessee,TN,11,1037877
Texas,TX,32,3203819
Utah,UT,5,383349
Vermont,VT,3,146898
West Virginia,WV,5,324126
Wyoming,WY,3,106864
